run_id,run_name,family,kind,seed,base_seed,replicate,tau,n_micro,k_macro,rm_uniform,rm_stationary,step_entropy_uniform,step_entropy_stationary,intrinsic,hyy,cd,resid,aperiodic_eps,block_sizes,fiber_sizes,heterogeneity_alpha,n_macro,p_in,p_out,strength,type_split
20260306_124948_66caaea9,default,exactly_lumpable,exactly_lumpable,101,101,0,1,6,3,5.286660781094375e-17,5.286660781094375e-17,0.8372044388220077,0.8372044388220077,0.8372044388220077,0.8372044388220077,4.3449105524216255e-17,-4.3449105524216255e-17,0.001,,"[2,2,2]",,3,,,,
20260306_124948_66caaea9,default,exactly_lumpable,exactly_lumpable,101,101,0,2,6,3,1.210612980357694e-16,1.413173362729725e-16,0.9101150563264049,0.9101150563264049,0.9101150563264215,0.9101150563264215,3.1484203101260553e-17,-3.1484203101260553e-17,0.001,,"[2,2,2]",,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,1,6,3,1.4054194821371094e-16,1.0460240131203351e-16,0.8639349478439878,0.863934947843988,0.863934947843988,0.8639349478439882,5.579306975285735e-17,5.52292327096583e-17,0.001,,"[2,2,2]",0.0,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,2,6,3,1.7705933899854777e-16,2.1775300034369927e-16,0.9887253167863321,0.988725316786332,0.9887253167863703,0.9887253167863703,3.249996625138287e-17,-3.249996625138287e-17,0.001,,"[2,2,2]",0.0,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,1,6,3,0.1066602579769205,0.10293581500164994,0.9627973812914352,0.9611965635879101,0.9529246405521352,0.9611965635879152,0.008271923035780053,-1.0408340855860843e-16,0.001,,"[2,2,2]",0.2,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,2,6,3,0.04418145903583973,0.04254654202124268,1.0572344133710387,1.057172534990676,1.0559274166197525,1.0571725349906802,0.00124511837092738,2.8687989483966447e-16,0.001,,"[2,2,2]",0.2,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,1,6,3,0.275729171224746,0.2696211780808804,1.033610984015393,1.0357184378181898,0.9875599621734198,1.0357184378181916,0.04815847564477198,-1.5265566588595902e-16,0.001,,"[2,2,2]",0.5,3,,,,
20260306_124948_66caaea9,default,perturbed_lumpable,perturbed_lumpable,102,102,0,2,6,3,0.0907033939840753,0.0884290200374935,1.093117098601053,1.0936634070773312,1.0888714363852965,1.0936634070773308,0.004791970692034433,-1.3530843112619095e-16,0.001,,"[2,2,2]",0.5,3,,,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,1,8,3,0.0032151710525099735,0.0027446790060611393,0.11053520051971119,0.10881538704930216,0.10871987670903027,0.1088153870497383,9.551034070802672e-05,-2.3852447794681098e-18,,"[3,3,2]",,,,1.0,0.02,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,2,8,3,0.003292825164278273,0.00240384713086606,0.19069580301772315,0.18803346153130818,0.18799984008404524,0.18803346153183786,3.3621447792648484e-05,-2.848741208205663e-17,,"[3,3,2]",,,,1.0,0.02,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,1,8,3,0.011405125911642234,0.010134724079963214,0.3102495544607609,0.3064090356649125,0.30605816550978593,0.30640903566517086,0.00035087015538495163,-2.1358782797964437e-17,,"[3,3,2]",,,,1.0,0.08,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,2,8,3,0.010846681747171724,0.008507652952466915,0.49307811675577445,0.48790211402436884,0.4877797551777148,0.48790211402462913,0.0001223588469142775,2.805373121306243e-17,,"[3,3,2]",,,,1.0,0.08,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,1,8,3,0.022950698448803125,0.021364451031948117,0.555560306449269,0.5510783795233819,0.5503564758284614,0.5510783795234991,0.0007219036950377406,3.2742905609062234e-17,,"[3,3,2]",,,,1.0,0.2,,
20260306_124948_66caaea9,default,metastable,metastable,103,103,0,2,8,3,0.018875904453656826,0.01604873926180062,0.7914789893256783,0.7866359792725832,0.7864050027288697,0.7866359792726684,0.00023097654379869534,-2.873135757086587e-17,,"[3,3,2]",,,,1.0,0.2,,
20260306_124948_66caaea9,default,hidden_types,hidden_types,104,104,0,1,8,3,0.023185336277724754,0.02159164147277752,0.9308696620168854,0.9287465926700267,0.9283348930603523,0.9287465926700411,0.0004116996096887996,-1.2576745200831851e-17,,,"[3,2,3]",,3,,,0.1,0.5
20260306_124948_66caaea9,default,hidden_types,hidden_types,104,104,0,1,8,3,0.11704236738393009,0.10999474488086433,0.9726835258672433,0.9649529611750333,0.955315615351183,0.9649529611750296,0.009637345823846441,1.249000902703301e-16,,,"[3,2,3]",,3,,,0.5,0.5
20260306_124948_66caaea9,default,hidden_types,hidden_types,104,104,0,1,8,3,0.21249319484801327,0.2005985395075492,0.9955109467420832,0.9866916954722715,0.9557344035572521,0.9866916954722706,0.030957291915018368,1.3530843112619095e-16,,,"[3,2,3]",,3,,,0.9,0.5
